duplicateGroupKey,duplicateBasis,count,fileIds,filePaths,names,size,width,height
11484|320|320|galaxy-z-fold-5-medium (1).webp,same name + size + dimensions,2,6a7ba89a5c7cd75eb818857f|6a7ba86c5c7cd75eb815e017,/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (1)/galaxy-z-fold-5-medium (1).webp|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (2)/galaxy-z-fold-5-medium (1).webp,galaxy-z-fold-5-medium (1).webp|galaxy-z-fold-5-medium (1).webp,11484,320,320
11484|320|320|galaxy-z-fold-5-medium (2).webp,same name + size + dimensions,2,6a7ba89a5c7cd75eb8188565|6a7ba86c5c7cd75eb815ddad,/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (1)/galaxy-z-fold-5-medium (2).webp|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (2)/galaxy-z-fold-5-medium (2).webp,galaxy-z-fold-5-medium (2).webp|galaxy-z-fold-5-medium (2).webp,11484,320,320
11484|320|320|galaxy-z-fold-5-medium.webp,same name + size + dimensions,2,6a7ba89a5c7cd75eb81886f3|6a7ba86c5c7cd75eb815e00f,/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (1)/galaxy-z-fold-5-medium.webp|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (2)/galaxy-z-fold-5-medium.webp,galaxy-z-fold-5-medium.webp|galaxy-z-fold-5-medium.webp,11484,320,320
11796|171|28|app-logo-desktop (1).svg,same name + size + dimensions,3,6a7c25d75c7cd75eb85302d7|6a7c24eb5c7cd75eb84c4269|6a7c23535c7cd75eb8406c13,/Bts/app-logo-desktop (1).svg|/itel/app-logo-desktop (1).svg|/tvs/app-logo-desktop (1).svg,app-logo-desktop (1).svg|app-logo-desktop (1).svg|app-logo-desktop (1).svg,11796,171,28
11796|171|28|app-logo-desktop.svg,same name + size + dimensions,25,6a7ca9d55c7cd75eb83056d0|6a7caadc5c7cd75eb840f572|6a7cab5e5c7cd75eb8493499|6a7cabb15c7cd75eb84e941f|6a7caf655c7cd75eb88bd323|6a7c25d75c7cd75eb8530bb6|6a7ba9875c7cd75eb82649f4|6a7b6cca5c7cd75eb8f3e922|6a7b697c5c7cd75eb8e176bf|6a7b63415c7cd75eb8b316eb|6a7ba8985c7cd75eb81868b9|6a7ba8435c7cd75eb8138da3|6a7ba80c5c7cd75eb8108864|6a7ba7bc5c7cd75eb80c0c62|6a7ba71a5c7cd75eb802fbdd|6a7ba6db5c7cd75eb8ff4fb5|6a7ba6a35c7cd75eb8fc173f|6a7ba8c85c7cd75eb81b154d|6a7b6a835c7cd75eb8e6fccb|6a7c24eb5c7cd75eb84c3fc5|6a7cac9d5c7cd75eb85d24a1|6a7cadd05c7cd75eb8708eda|6a7caeb75c7cd75eb87f852c|6a7caeec5c7cd75eb8837278|6a7c23535c7cd75eb8406c5d,/airbuds/app-logo-desktop.svg|/airbuds2/app-logo-desktop.svg|/airbuds3/app-logo-desktop.svg|/airbuds4/app-logo-desktop.svg|/airbuds5/app-logo-desktop.svg|/Bts/app-logo-desktop.svg|/ecommerce/All iOS Smartphones - Price in Kenya/app-logo-desktop.svg|/ecommerce/All Tecno Smartphones - Price in Kenya (2)/app-logo-desktop.svg|/ecommerce/All Tecno Smartphones - Price in Kenya/app-logo-desktop.svg|/ecommerce/All Xiaomi Smartphones - Price in Kenya (2)/app-logo-desktop.svg|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (1)/app-logo-desktop.svg|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (2)/app-logo-desktop.svg|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (3)/app-logo-desktop.svg|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (4)/app-logo-desktop.svg|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (6)/app-logo-desktop.svg|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (7)/app-logo-desktop.svg|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (8)/app-logo-desktop.svg|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya/app-logo-desktop.svg|/ecommerce/Tecno-2/All Tecno Smartphones - Price in Kenya/app-logo-desktop.svg|/itel/app-logo-desktop.svg|/Oppo2/app-logo-desktop.svg|/Oppo3/app-logo-desktop.svg|/Oppo5/app-logo-desktop.svg|/Oppo6/app-logo-desktop.svg|/tvs/app-logo-desktop.svg,app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg|app-logo-desktop.svg,11796,171,28
11878|320|320|tecno-pop-x-5g-medium.webp,same name + size + dimensions,2,6a7b697d5c7cd75eb8e18075|6a7b6a865c7cd75eb8e70a5e,/ecommerce/All Tecno Smartphones - Price in Kenya/Tecno-Pop-X-5G-medium.webp|/ecommerce/Tecno-2/All Tecno Smartphones - Price in Kenya/Tecno-Pop-X-5G-medium.webp,Tecno-Pop-X-5G-medium.webp|Tecno-Pop-X-5G-medium.webp,11878,320,320
1256|100|50|realme-logo-original (2).webp,same name + size + dimensions,10,6a7ca9e75c7cd75eb8317256|6a7caae55c7cd75eb8418685|6a7cab675c7cd75eb849d649|6a7cabba5c7cd75eb84f20e4|6a7caf6f5c7cd75eb88c8e96|6a7c25665c7cd75eb84fb4e4|6a7caca75c7cd75eb85dcce5|6a7cadda5c7cd75eb8713ef8|6a7caec25c7cd75eb8804181|6a7caef95c7cd75eb88465e2,/airbuds/realme-logo-original (2).webp|/airbuds2/realme-logo-original (2).webp|/airbuds3/realme-logo-original (2).webp|/airbuds4/realme-logo-original (2).webp|/airbuds5/realme-logo-original (2).webp|/itel/realme-logo-original (2).webp|/Oppo2/realme-logo-original (2).webp|/Oppo3/realme-logo-original (2).webp|/Oppo5/realme-logo-original (2).webp|/Oppo6/realme-logo-original (2).webp,realme-logo-original (2).webp|realme-logo-original (2).webp|realme-logo-original (2).webp|realme-logo-original (2).webp|realme-logo-original (2).webp|realme-logo-original (2).webp|realme-logo-original (2).webp|realme-logo-original (2).webp|realme-logo-original (2).webp|realme-logo-original (2).webp,1256,100,50
12592|320|320|oppo-f31-pro-medium.webp,same name + size + dimensions,2,6a7cac765c7cd75eb85ac381|6a7caca65c7cd75eb85db8ea,/Oppo/Oppo-F31-Pro-medium.webp|/Oppo2/Oppo-F31-Pro-medium.webp,Oppo-F31-Pro-medium.webp|Oppo-F31-Pro-medium.webp,12592,320,320
13780|320|320|samsunggalaxya23n-medium.webp,same name + size + dimensions,2,6a7ba7185c7cd75eb802e03d|6a7ba6db5c7cd75eb8ff4f84,/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (7)/samsunggalaxya23n-medium.webp|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (8)/samsunggalaxya23n-medium.webp,samsunggalaxya23n-medium.webp|samsunggalaxya23n-medium.webp,13780,320,320
1410|100|50|htc-logo-original (2).webp,same name + size + dimensions,5,6a7c24ec5c7cd75eb84c4ede|6a7cac9d5c7cd75eb85d38d2|6a7cadd15c7cd75eb87093c3|6a7caeb85c7cd75eb87f9fb1|6a7caeed5c7cd75eb883828e,/itel/htc-logo-original (2).webp|/Oppo2/htc-logo-original (2).webp|/Oppo3/htc-logo-original (2).webp|/Oppo5/htc-logo-original (2).webp|/Oppo6/htc-logo-original (2).webp,htc-logo-original (2).webp|htc-logo-original (2).webp|htc-logo-original (2).webp|htc-logo-original (2).webp|htc-logo-original (2).webp,1410,100,50
1524|145|145|anker-soundcore-a30i-medium (2).webp,same name + size + dimensions,3,6a7ca9d45c7cd75eb8304fe4|6a7caadb5c7cd75eb840e916|6a7cab5e5c7cd75eb8493048,/airbuds/Anker-Soundcore-A30i-medium (2).webp|/airbuds2/Anker-Soundcore-A30i-medium (2).webp|/airbuds3/Anker-Soundcore-A30i-medium (2).webp,Anker-Soundcore-A30i-medium (2).webp|Anker-Soundcore-A30i-medium (2).webp|Anker-Soundcore-A30i-medium (2).webp,1524,145,145
