ID,SOURCE_FOLDER,FILENAME,DISPLAY_NAME,BRAND,CAT_ID,CAT_NAME,CONFIDENCE,REASONS,URL
6a7b63445c7cd75eb8b32a0a,ecommerce,Xiaomi-15-Ultra-d-medium (1).webp,Xiaomi 15 Ultra d medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-15-Ultra-d-medium%20(1).webp?updatedAt=1786471237116
6a7b63465c7cd75eb8b33bcf,ecommerce,Xiaomi-15-Ultra-d-medium (2).webp,Xiaomi 15 Ultra d medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-15-Ultra-d-medium%20(2).webp?updatedAt=1786471239182
6a7b63475c7cd75eb8b3404d,ecommerce,Xiaomi-15-Ultra-d-medium.webp,Xiaomi 15 Ultra d medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-15-Ultra-d-medium.webp?updatedAt=1786471240117
6a7b63475c7cd75eb8b34011,ecommerce,Xiaomi-17-a-medium (1).webp,Xiaomi 17 a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-17-a-medium%20(1).webp?updatedAt=1786471240086
6a7b63455c7cd75eb8b33551,ecommerce,Xiaomi-17-a-medium (2).webp,Xiaomi 17 a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-17-a-medium%20(2).webp?updatedAt=1786471238259
6a7b63465c7cd75eb8b33c66,ecommerce,Xiaomi-17-a-medium.webp,Xiaomi 17 a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-17-a-medium.webp?updatedAt=1786471239361
6a7b63455c7cd75eb8b335e6,ecommerce,Xiaomi-17-Pro-b-medium (1).webp,Xiaomi 17 Pro b medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-17-Pro-b-medium%20(1).webp?updatedAt=1786471238424
6a7b63465c7cd75eb8b33c5e,ecommerce,Xiaomi-17-Pro-b-medium (2).webp,Xiaomi 17 Pro b medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-17-Pro-b-medium%20(2).webp?updatedAt=1786471239320
6a7b63465c7cd75eb8b33b88,ecommerce,Xiaomi-17-Pro-b-medium.webp,Xiaomi 17 Pro b medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-17-Pro-b-medium.webp?updatedAt=1786471239102
6a7b63475c7cd75eb8b33f58,ecommerce,Xiaomi-Mix-Flip-2-c-medium (1).webp,Xiaomi Mix Flip 2 c medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Mix-Flip-2-c-medium%20(1).webp?updatedAt=1786471239965
